onset	duration	nwb_table	target_presentation_time	go_cue_time	reaction_time	move_begins_time	move_ends_time	discard_trial	task_success	trial_type	trial_version	proto_trial	maze_condition	correct_reach	maze_num_targets	maze_num_barriers	novel_maze	hit_target_position	target_size
5.416533333333334	3.909866666666666	trials	6.422533333333334	7.120533333333333	0.435	7.523533333333334	7.893533333333334	0	1	37	0	0	100	1	1	0	0	[119  80]	13
15.9419	4.520433333333333	trials	17.0949	17.7089	0.465	18.1289	18.7139	0	1	34	2	0	93	1	3	9	0	[122 -81]	13
22.651766666666667	4.524766666666668	trials	23.764766666666667	24.728766666666665	0.435	25.128766666666667	25.728766666666665	0	1	0	2	0	0	0	1	2	1	[-87 -71]	13
36.711866666666666	4.495400000000004	trials	37.504866666666665	38.452866666666665	0.425	38.84386666666666	39.57886666666666	0	1	25	2	0	57	1	3	8	0	[  8 102]	13
47.73173333333334	5.094633333333334	trials	48.70973333333334	49.65773333333334	0.35	50.99873333333334	51.43873333333334	0	1	1	0	0	0	0	1	7	0	[-144  -52]	13
53.5116	4.435700000000004	trials	54.6126	55.4266	0.465	55.8586	56.2836	0	1	39	2	0	108	1	3	9	0	[-90 -82]	13
63.386700000000005	3.6746333333333325	trials	64.21770000000001	64.9487	0.395	65.31370000000001	65.7037	0	1	18	0	0	43	1	1	0	0	[114 -86]	13
69.09686666666667	4.399766666666665	trials	70.18686666666667	70.88486666666667	0.58	71.42386666666667	71.92886666666666	0	1	16	2	0	39	1	3	9	0	[-108   82]	13
84.3267	3.2853999999999957	trials	85.4777	86.0087	0.49	86.4537		0	0	26	1	0	59	0	1	8	0	[-115   70]	13
88.7767	3.895466666666664	trials	89.6627	90.1277	0.425	90.5087	91.04870000000001	0	1	13	1	1	29	1	1	9	0	[-117   88]	13
93.38146666666667	4.389866666666663	trials	94.14846666666666	94.76246666666667	0.4	95.93346666666667	96.38846666666667	0	1	5	0	0	0	0	1	8	0	[-115 -100]	13
106.12166666666667	3.134666666666675	trials	107.12166666666667	107.78566666666667	0.45	108.19366666666667		0	0	27	0	0	61	0	1	0	0	[115 -80]	13
110.24680000000001	4.394800000000004	trials	111.22380000000001	112.0048	0.42	112.3888	113.0738	0	1	35	2	0	96	1	3	9	0	[123   9]	13
122.38180000000001	3.9647666666666623	trials	123.36280000000001	123.89380000000001	0.395	124.24380000000001	124.70380000000002	0	1	36	2	0	99	1	3	9	0	[-115   77]	13
127.37156666666667	4.110000000000014	trials	128.21456666666666	129.16256666666666	0.34	129.47356666666667	129.94356666666667	0	1	28	2	0	66	1	3	9	0	[110  79]	13
135.89666666666668	4.470466666666653	trials	136.93566666666666	137.63366666666667	0.575	138.1786666666667	138.74366666666668	0	1	34	1	0	92	1	1	9	0	[122 -81]	13
141.37643333333335	3.954999999999984	trials	142.40543333333335	142.95243333333335	0.45	143.35843333333335	143.83843333333334	0	1	7	1	0	14	1	1	8	0	[136  87]	13
151.9466666666667	3.129599999999982	trials	152.74366666666668	152.95766666666668	0.36	153.27366666666668	153.6986666666667	0	1	32	0	0	85	1	1	0	0	[-117  -86]	13
