name	electrode_name	type	units
chan1	e000	n/a	V
chan2	e001	n/a	V
chan3	e002	n/a	V
chan4	e003	n/a	V
chan5	e004	n/a	V
chan6	e005	n/a	V
chan7	e006	n/a	V
chan8	e007	n/a	V
chan9	e008	n/a	V
chan10	e009	n/a	V
chan11	e010	n/a	V
chan12	e011	n/a	V
chan13	e012	n/a	V
chan14	e013	n/a	V
chan15	e014	n/a	V
chan16	e015	n/a	V
chan17	e016	n/a	V
chan18	e017	n/a	V
chan19	e018	n/a	V
chan20	e019	n/a	V
chan21	e020	n/a	V
chan22	e021	n/a	V
chan23	e022	n/a	V
chan24	e023	n/a	V
chan25	e024	n/a	V
chan26	e025	n/a	V
chan27	e026	n/a	V
chan28	e027	n/a	V
chan29	e028	n/a	V
chan30	e029	n/a	V
chan31	e030	n/a	V
chan32	e031	n/a	V
chan33	e032	n/a	V
chan34	e033	n/a	V
chan35	e034	n/a	V
chan36	e035	n/a	V
chan37	e036	n/a	V
chan38	e037	n/a	V
chan39	e038	n/a	V
chan40	e039	n/a	V
chan41	e040	n/a	V
chan42	e041	n/a	V
chan43	e042	n/a	V
chan44	e043	n/a	V
chan45	e044	n/a	V
chan46	e045	n/a	V
chan47	e046	n/a	V
chan48	e047	n/a	V
chan49	e048	n/a	V
chan50	e049	n/a	V
chan51	e050	n/a	V
chan52	e051	n/a	V
chan53	e052	n/a	V
chan54	e053	n/a	V
chan55	e054	n/a	V
chan56	e055	n/a	V
chan57	e056	n/a	V
chan58	e057	n/a	V
chan59	e058	n/a	V
chan60	e059	n/a	V
chan61	e060	n/a	V
chan62	e061	n/a	V
chan63	e062	n/a	V
chan64	e063	n/a	V
chan65	e064	n/a	V
chan66	e065	n/a	V
chan67	e066	n/a	V
chan68	e067	n/a	V
chan69	e068	n/a	V
chan70	e069	n/a	V
chan71	e070	n/a	V
chan72	e071	n/a	V
chan73	e072	n/a	V
chan74	e073	n/a	V
chan75	e074	n/a	V
chan76	e075	n/a	V
chan77	e076	n/a	V
chan78	e077	n/a	V
chan79	e078	n/a	V
chan80	e079	n/a	V
chan81	e080	n/a	V
chan82	e081	n/a	V
chan83	e082	n/a	V
chan84	e083	n/a	V
chan85	e084	n/a	V
chan86	e085	n/a	V
chan87	e086	n/a	V
chan88	e087	n/a	V
chan89	e088	n/a	V
chan90	e089	n/a	V
chan91	e090	n/a	V
chan92	e091	n/a	V
chan93	e092	n/a	V
chan94	e093	n/a	V
chan95	e094	n/a	V
chan96	e095	n/a	V
chan97	e096	n/a	V
chan98	e097	n/a	V
chan99	e098	n/a	V
chan100	e099	n/a	V
chan101	e100	n/a	V
chan102	e101	n/a	V
chan103	e102	n/a	V
chan104	e103	n/a	V
chan105	e104	n/a	V
chan106	e105	n/a	V
chan107	e106	n/a	V
chan108	e107	n/a	V
chan109	e108	n/a	V
chan110	e109	n/a	V
chan111	e110	n/a	V
chan112	e111	n/a	V
chan113	e112	n/a	V
chan114	e113	n/a	V
chan115	e114	n/a	V
chan116	e115	n/a	V
chan117	e116	n/a	V
chan118	e117	n/a	V
chan119	e118	n/a	V
chan120	e119	n/a	V
chan121	e120	n/a	V
chan122	e121	n/a	V
chan123	e122	n/a	V
chan124	e123	n/a	V
chan125	e124	n/a	V
chan126	e125	n/a	V
chan127	e126	n/a	V
chan128	e127	n/a	V
chan129	e128	n/a	V
chan130	e129	n/a	V
chan131	e130	n/a	V
chan132	e131	n/a	V
chan133	e132	n/a	V
chan134	e133	n/a	V
chan135	e134	n/a	V
chan136	e135	n/a	V
chan137	e136	n/a	V
chan138	e137	n/a	V
chan139	e138	n/a	V
chan140	e139	n/a	V
chan141	e140	n/a	V
chan142	e141	n/a	V
chan143	e142	n/a	V
chan144	e143	n/a	V
chan145	e144	n/a	V
chan146	e145	n/a	V
chan147	e146	n/a	V
chan148	e147	n/a	V
chan149	e148	n/a	V
chan150	e149	n/a	V
chan151	e150	n/a	V
chan152	e151	n/a	V
chan153	e152	n/a	V
chan154	e153	n/a	V
chan155	e154	n/a	V
chan156	e155	n/a	V
chan157	e156	n/a	V
chan158	e157	n/a	V
chan159	e158	n/a	V
chan160	e159	n/a	V
chan161	e160	n/a	V
chan162	e161	n/a	V
chan163	e162	n/a	V
chan164	e163	n/a	V
chan165	e164	n/a	V
chan166	e165	n/a	V
chan167	e166	n/a	V
chan168	e167	n/a	V
chan169	e168	n/a	V
chan170	e169	n/a	V
chan171	e170	n/a	V
chan172	e171	n/a	V
chan173	e172	n/a	V
chan174	e173	n/a	V
chan175	e174	n/a	V
chan176	e175	n/a	V
chan177	e176	n/a	V
chan178	e177	n/a	V
chan179	e178	n/a	V
chan180	e179	n/a	V
chan181	e180	n/a	V
chan182	e181	n/a	V
chan183	e182	n/a	V
chan184	e183	n/a	V
chan185	e184	n/a	V
chan186	e185	n/a	V
chan187	e186	n/a	V
chan188	e187	n/a	V
chan189	e188	n/a	V
chan190	e189	n/a	V
chan191	e190	n/a	V
chan192	e191	n/a	V
