name	electrode_name	type	units	sampling_frequency
chan1	e000	n/a	V	-1.0
chan2	e001	n/a	V	-1.0
chan3	e002	n/a	V	-1.0
chan4	e003	n/a	V	-1.0
chan5	e004	n/a	V	-1.0
chan6	e005	n/a	V	-1.0
chan7	e006	n/a	V	-1.0
chan8	e007	n/a	V	-1.0
chan9	e008	n/a	V	-1.0
chan10	e009	n/a	V	-1.0
chan11	e010	n/a	V	-1.0
chan12	e011	n/a	V	-1.0
chan13	e012	n/a	V	-1.0
chan14	e013	n/a	V	-1.0
chan15	e014	n/a	V	-1.0
chan16	e015	n/a	V	-1.0
chan17	e016	n/a	V	-1.0
chan18	e017	n/a	V	-1.0
chan19	e018	n/a	V	-1.0
chan20	e019	n/a	V	-1.0
chan21	e020	n/a	V	-1.0
chan22	e021	n/a	V	-1.0
chan23	e022	n/a	V	-1.0
chan24	e023	n/a	V	-1.0
chan25	e024	n/a	V	-1.0
chan26	e025	n/a	V	-1.0
chan27	e026	n/a	V	-1.0
chan28	e027	n/a	V	-1.0
chan29	e028	n/a	V	-1.0
chan30	e029	n/a	V	-1.0
chan31	e030	n/a	V	-1.0
chan32	e031	n/a	V	-1.0
chan33	e032	n/a	V	-1.0
chan34	e033	n/a	V	-1.0
chan35	e034	n/a	V	-1.0
chan36	e035	n/a	V	-1.0
chan37	e036	n/a	V	-1.0
chan38	e037	n/a	V	-1.0
chan39	e038	n/a	V	-1.0
chan40	e039	n/a	V	-1.0
chan41	e040	n/a	V	-1.0
chan42	e041	n/a	V	-1.0
chan43	e042	n/a	V	-1.0
chan44	e043	n/a	V	-1.0
chan45	e044	n/a	V	-1.0
chan46	e045	n/a	V	-1.0
chan47	e046	n/a	V	-1.0
chan48	e047	n/a	V	-1.0
chan49	e048	n/a	V	-1.0
chan50	e049	n/a	V	-1.0
chan51	e050	n/a	V	-1.0
chan52	e051	n/a	V	-1.0
chan53	e052	n/a	V	-1.0
chan54	e053	n/a	V	-1.0
chan55	e054	n/a	V	-1.0
chan56	e055	n/a	V	-1.0
chan57	e056	n/a	V	-1.0
chan58	e057	n/a	V	-1.0
chan59	e058	n/a	V	-1.0
chan60	e059	n/a	V	-1.0
chan61	e060	n/a	V	-1.0
chan62	e061	n/a	V	-1.0
chan63	e062	n/a	V	-1.0
chan64	e063	n/a	V	-1.0
chan65	e064	n/a	V	-1.0
chan66	e065	n/a	V	-1.0
chan67	e066	n/a	V	-1.0
chan68	e067	n/a	V	-1.0
chan69	e068	n/a	V	-1.0
chan70	e069	n/a	V	-1.0
chan71	e070	n/a	V	-1.0
chan72	e071	n/a	V	-1.0
chan73	e072	n/a	V	-1.0
chan74	e073	n/a	V	-1.0
chan75	e074	n/a	V	-1.0
chan76	e075	n/a	V	-1.0
chan77	e076	n/a	V	-1.0
chan78	e077	n/a	V	-1.0
chan79	e078	n/a	V	-1.0
chan80	e079	n/a	V	-1.0
chan81	e080	n/a	V	-1.0
chan82	e081	n/a	V	-1.0
chan83	e082	n/a	V	-1.0
chan84	e083	n/a	V	-1.0
chan85	e084	n/a	V	-1.0
chan86	e085	n/a	V	-1.0
chan87	e086	n/a	V	-1.0
chan88	e087	n/a	V	-1.0
chan89	e088	n/a	V	-1.0
chan90	e089	n/a	V	-1.0
chan91	e090	n/a	V	-1.0
chan92	e091	n/a	V	-1.0
chan93	e092	n/a	V	-1.0
chan94	e093	n/a	V	-1.0
chan95	e094	n/a	V	-1.0
chan96	e095	n/a	V	-1.0
chan97	e096	n/a	V	-1.0
chan98	e097	n/a	V	-1.0
chan99	e098	n/a	V	-1.0
chan100	e099	n/a	V	-1.0
chan101	e100	n/a	V	-1.0
chan102	e101	n/a	V	-1.0
chan103	e102	n/a	V	-1.0
chan104	e103	n/a	V	-1.0
chan105	e104	n/a	V	-1.0
chan106	e105	n/a	V	-1.0
chan107	e106	n/a	V	-1.0
chan108	e107	n/a	V	-1.0
chan109	e108	n/a	V	-1.0
chan110	e109	n/a	V	-1.0
chan111	e110	n/a	V	-1.0
chan112	e111	n/a	V	-1.0
chan113	e112	n/a	V	-1.0
chan114	e113	n/a	V	-1.0
chan115	e114	n/a	V	-1.0
chan116	e115	n/a	V	-1.0
chan117	e116	n/a	V	-1.0
chan118	e117	n/a	V	-1.0
chan119	e118	n/a	V	-1.0
chan120	e119	n/a	V	-1.0
chan121	e120	n/a	V	-1.0
chan122	e121	n/a	V	-1.0
chan123	e122	n/a	V	-1.0
chan124	e123	n/a	V	-1.0
chan125	e124	n/a	V	-1.0
chan126	e125	n/a	V	-1.0
chan127	e126	n/a	V	-1.0
chan128	e127	n/a	V	-1.0
chan129	e128	n/a	V	-1.0
chan130	e129	n/a	V	-1.0
chan131	e130	n/a	V	-1.0
chan132	e131	n/a	V	-1.0
chan133	e132	n/a	V	-1.0
chan134	e133	n/a	V	-1.0
chan135	e134	n/a	V	-1.0
chan136	e135	n/a	V	-1.0
chan137	e136	n/a	V	-1.0
chan138	e137	n/a	V	-1.0
chan139	e138	n/a	V	-1.0
chan140	e139	n/a	V	-1.0
chan141	e140	n/a	V	-1.0
chan142	e141	n/a	V	-1.0
chan143	e142	n/a	V	-1.0
chan144	e143	n/a	V	-1.0
chan145	e144	n/a	V	-1.0
chan146	e145	n/a	V	-1.0
chan147	e146	n/a	V	-1.0
chan148	e147	n/a	V	-1.0
chan149	e148	n/a	V	-1.0
chan150	e149	n/a	V	-1.0
chan151	e150	n/a	V	-1.0
chan152	e151	n/a	V	-1.0
chan153	e152	n/a	V	-1.0
chan154	e153	n/a	V	-1.0
chan155	e154	n/a	V	-1.0
chan156	e155	n/a	V	-1.0
chan157	e156	n/a	V	-1.0
chan158	e157	n/a	V	-1.0
chan159	e158	n/a	V	-1.0
chan160	e159	n/a	V	-1.0
chan161	e160	n/a	V	-1.0
chan162	e161	n/a	V	-1.0
chan163	e162	n/a	V	-1.0
chan164	e163	n/a	V	-1.0
chan165	e164	n/a	V	-1.0
chan166	e165	n/a	V	-1.0
chan167	e166	n/a	V	-1.0
chan168	e167	n/a	V	-1.0
chan169	e168	n/a	V	-1.0
chan170	e169	n/a	V	-1.0
chan171	e170	n/a	V	-1.0
chan172	e171	n/a	V	-1.0
chan173	e172	n/a	V	-1.0
chan174	e173	n/a	V	-1.0
chan175	e174	n/a	V	-1.0
chan176	e175	n/a	V	-1.0
chan177	e176	n/a	V	-1.0
chan178	e177	n/a	V	-1.0
chan179	e178	n/a	V	-1.0
chan180	e179	n/a	V	-1.0
chan181	e180	n/a	V	-1.0
chan182	e181	n/a	V	-1.0
chan183	e182	n/a	V	-1.0
chan184	e183	n/a	V	-1.0
chan185	e184	n/a	V	-1.0
chan186	e185	n/a	V	-1.0
chan187	e186	n/a	V	-1.0
chan188	e187	n/a	V	-1.0
chan189	e188	n/a	V	-1.0
chan190	e189	n/a	V	-1.0
chan191	e190	n/a	V	-1.0
chan192	e191	n/a	V	-1.0
